2.443025647973273706e+01,5.708292714993459782e+01,3.636395492528863116e+01,3.483730322138893598e+01,5.685339928395280396e+01,8.003850715868607324e+01
9.198777211930112685e+01,2.719453800053029013e+01,8.276382362069620058e+01,7.470802805223262055e+01,1.095958403499708282e+02,3.796856655717785856e+01
6.108329081853992193e+01,2.086537588749850514e+01,4.193452011813765523e+01,3.383819981458730553e+01,6.874425093780956786e+01,6.858533389125864232e+01
6.808475539226456874e+01,1.992504497310718037e+01,4.091949392031369825e+01,3.236535131429280199e+01,6.689272910834478125e+01,7.672826391801665125e+01
9.223913285394181116e+01,3.617252270411712090e+01,5.386215488146261521e+01,4.666685044518779790e+01,7.382407965503554692e+01,9.890525642222073088e+01
3.779513314129605561e+01,7.234023628818043505e+01,6.863714695101499785e+01,6.676665354205690051e+01,8.736442245530096784e+01,6.612798981451814484e+01
8.925966996337957937e+01,2.650550183193069742e+01,5.471785175587192640e+01,4.676195561282569457e+01,7.713210316194772531e+01,8.919205081755197284e+01
9.087436336143382221e+01,3.368054144501213898e+01,5.334480624060628884e+01,4.593261404200140419e+01,7.400272457407791649e+01,9.641660676890461446e+01
2.813907230355626510e+01,7.679206206722381012e+01,6.401181734930987943e+01,6.341477068213784207e+01,8.031934971249133071e+01,7.645003927294260393e+01
1.300185925332471726e+01,8.169349049370008231e+01,3.674294920951709997e+01,4.146212887026756277e+01,4.257624124635191976e+01,1.071841484827242681e+02
8.831540818685206773e+01,5.634124609765257929e+01,9.643117851095784943e+01,8.994749968449346511e+01,1.221808203277671510e+02,1.077198002690908574e+01
8.182964920092381078e+01,5.823565149805354224e+01,9.311730013455455435e+01,8.711391072356512666e+01,1.182901913702837646e+02,1.768775764050837296e+01
2.608974232864273191e+01,5.853161837558507585e+01,2.414172053112776695e+01,2.414877112826591699e+01,4.432969101318681737e+01,9.033065170687807210e+01
5.690805617864941013e+01,4.904131924627157701e+01,6.898614623605712382e+01,6.381801153720304853e+01,9.330247055016096169e+01,4.228194349924162765e+01
7.372883667345574565e+01,1.316286056767985002e+01,6.062812802378982013e+01,5.258351605914026550e+01,8.745899724545166976e+01,5.253574916752562274e+01
6.624887022593436647e+00,7.658256490925251114e+01,4.620186659795750472e+01,4.797276815675557060e+01,5.869209673699836571e+01,9.241381512722890079e+01
5.788669851645504139e+01,6.193220838901653735e+01,7.783761511025775803e+01,7.358101882524576354e+01,1.006104716568372908e+02,4.327331063949061019e+01
1.015714747520707135e+02,2.141220709568978009e+01,7.469352843383100549e+01,6.621982626156324159e+01,9.916883561432592842e+01,7.467534140873846127e+01
5.193174460294296324e+01,6.738076440688621460e+01,9.350774296936940289e+00,1.613408406674351170e+01,1.943018597706522499e+01,1.155631206164625411e+02
6.693460585740075430e+01,1.744742256066479058e+01,5.519749473095168213e+01,4.740999436552198176e+01,8.202806412592707375e+01,5.472251029861919136e+01
3.853587020396768281e+01,7.475075725828796180e+01,7.067845240907999482e+01,6.896687845412034790e+01,8.899063862158658367e+01,6.707229121395427285e+01
8.207036434217123144e+01,3.370370855500613061e+01,7.994040397377132479e+01,7.256442512391018340e+01,1.065694863505235475e+02,2.950454831294861435e+01
4.563502410376479901e+01,5.308632819909884404e+01,7.713690779077477799e+00,3.116735799712255783e+00,3.455545009503173048e+01,9.908399957287217319e+01
